product,price,kilometraje
renault clio 1.2 style u,27500000,103000
nissan versa 1.6 sense,54000000,34700
volkswagen gol 1.6 comfortline msi,36900000,76000
renault logan 1.6 expression,23500000,105000
jeep grand cherokee 3.6 limited 4x4,126000000,19850
volkswagen jetta 1.4 sportline,82500000,42500
volkswagen polo 1.6 msi comfortline,64000000,25800
suzuki vitara 1.6 live,69500000,39500
nissan leaf leaf,96000000,30529
volkswagen jetta 2.0 comfortline,54000000,67200
bmw z4 2.0 sdrive20i,94993000,31000
jeep cherokee 3.2 longitude,75000000,101600
volkswagen nivus 1.0 comfortline,78900000,15600
renault duster 2.0 dynamique 4x2,57900000,43400
volkswagen gol 1.6 trendline,46700000,18000
mazda cx-30 2.0 grand touring lx at hibrido ligero - mhev,133000000,5000
mazda bt-50 2.2 b22cs7 4x2,39900000,228000
mazda 2 1.5 touring sedan,61600000,36500
chevrolet optra 1.6 advance,20000000,121860
hyundai accent 1.4 gls mecanico,23000000,178746
chevrolet tracker 1.8 ls at,57000000,55500
volkswagen fox 1.6 xtreme,48000000,24000
kia grand pregio 3.0 gs,68000000,256496
volkswagen tiguan 2.0 elegance emotion,145000000,11300
suzuki swift 1.2 dzire,43000000,38300
mazda cx-3 2.0 grand touring at,74000000,61432
hyundai accent 1.6 advance,53000000,62800
chevrolet captiva 2.4 sport 182 hp,34000000,72000
nissan versa v-drive at 1600cc 6ab abs,62000000,13155
renault logan 1.6 expression,20000000,102000
ford f-350 5.8,38500000,200000
chevrolet sonic 1.6 lt 5 p,37000000,52900
volkswagen jetta 2.0 trendline 4 p 114 hp,42000000,51000
jeep compass 2.4 4x2 longitud aut,80000000,25000
dodge journey 2.7 sxt,40000000,71000
bmw serie 3 2.0 320i f30 sportline,89000000,79000
mercedes-benz c200 1.8 classic,44000000,88000
nissan frontier 2.5 s,133000000,37000
volkswagen golf 1.8 manhattan,18300000,148600
citroën c3 1.6 feel automatica,59000000,45000
land rover defender 3.0 first edition,620000000,18000
chevrolet cruze 1.8 platinum at,30000000,90866
nissan frontier 2.4 4x2,49500000,104400
chevrolet aveo emotion 1.6 gt,27500000,126342
suzuki xl7 glx,89000000,35800
ford fiesta titanium,46000000,43850
jeep willys 2.5,22000000,10
toyota prado 3.0 tx-l,150000000,138000
ford edge 3.5 se fl,49900000,86500
renault sandero 1.6 life,45000000,34200
mazda 3 2.0 prime,55000000,119000
volvo c30 2.5 t5 premium,60000000,68500
volkswagen jetta 2.5 new jetta comfortline at,39500000,143200
seat arona 1.6 fr at,78000000,44000
renault megane 2 2.0 expression,20000000,208000
volvo v40 1.6 t4 kinetic at,45500000,60200
volkswagen golf 1.6 comfortline mt,18000000,142000
toyota prado 4.0 tx-l 7 pasajeros 4x4,155000000,118800
hyundai accent 1.6 hb20s advance mt,65000000,7800
toyota land cruiser 4.5 imperial lc(200) 4x4 diesel,255000000,160000
renault sandero 1.6 intens / at,45000000,25000
bmw serie 2 2.0 220i  g42 coupe edicion m tp,190000000,19091
nissan almera 1.6 slx 4 p,13500000,291000
hyundai accent 1.6 gls 4 p,29000000,81600
chevrolet onix 1.0t automatica,61000000,20000
mercedes-benz clase a 1.6 a 200,60000000,61059
volkswagen voyage 1.6 trendline,54000000,14500
volkswagen virtus 1.6 comfortline,49000000,38000
mercedes-benz clase c 2.0 cgi exclusive,130000000,19450
ford escape 2.0 titanium 245 hp,79000000,73300
nissan kicks 1.6 advance,80000000,29740
chevrolet aveo 1.6 emottion,26500000,129600
volkswagen bora 2.5 exclusive,31000000,150500
citroën c4 cactus 1.6 shine turbo aut,81900000,34470
kia rio 1.4 4 p,40500000,115000
ford fusion 3.0 v6 sel,38000000,86600
volkswagen polo 2.0l,20000000,226661
volkswagen jetta 2.0 trendline,46500000,68250
renault scenic 1.6 rxe,19000000,180000
nissan x-trail 2.5 s basica,48200000,98500
kia picanto 1.1,20500000,143144
ford explorer 3.5 limited,119000000,53200
toyota prado 2.8 tx-l at6,322000000,28000
toyota prado 2.8 tx-l at6,312000000,6300
nissan pathfinder 3.5 r52 exclusive,125000000,66721
toyota land cruiser 4.0 79 estacas,330000000,10000
chevrolet sail 1.4 ltz,36000000,30833
toyota rav4 2.5 limited hybrid,235000000,13000
volkswagen virtus 1.6 comfortline,60900000,22577
renault duster 1.6 dynamique intens,49000000,107000
renault stepway 1.6 intens,51000000,70000
honda cr-v 2.4 lx,43000000,139050
chevrolet optra 1.6 advance mt,26000000,68000
nissan versa 1.6 sense at,41900000,79000
chevrolet grand vitara 2.5 v6 gls,36000000,226000
chevrolet captiva 1.5   premier turbo  at  4x2,89500000,46600
mini cooper s 2.0  f56 s,100000000,28567
mazda 2 1.5 grand touring,58000000,70250
renault sandero 1.6 automatiq,38000000,84696
nissan x-trail 2.5 s basica,46300000,137500
mazda 3 2.0 touring,89000000,12000
mazda 3 2.0 grand touring lx,72000000,88150
suzuki grand vitara 2.0 sz 4x4,36000000,133000
mazda 3 2.0 touring,72000000,36000
renault duster 2.0 dynamique 4x4,46900000,76000
chevrolet onix 1.4 active,40600000,46309
nissan versa 1.6 advance mt,49900000,49800
citroën c4 cactus 1.6l feel aut,78000000,12150
volkswagen jetta 2.5 trendline,39500000,123437
renault twingo 1.2 access,27500000,135500
renault koleos 2.5 dynamique bose,49000000,80900
volkswagen crossfox 1.6l,39600000,68020
ford explorer 3.5 limited,77800000,86890
chevrolet equinox 1.5 lt,90000000,48200
ram v700 1.4 rapid,40800000,60000
ford escape 2.0 se 4x4,52000000,102037
bmw serie 3 3.0 330i e90 lci,62000000,98839
dodge journey se,52000000,44300
toyota fortuner 2.7l 4x2,95000000,120000
toyota fortuner 2.4 diesel 4x2,185000000,33000
mercedes-benz clase gle 3.0 amg 53 4matic,465000000,9516
fiat cronos 1.3 drive,50000000,29000
mazda cx-7 2.3 cx7l3t,36000000,150000
mazda mx-5 grand touring lx,130000000,22500
bmw x3 2.0 f25 xdrive28i,120000000,39800
nissan sentra 1.8 exclusive,79000000,17000
renault duster 1.6 expression,49800000,74000
mini morris 1.3,115000000,10
ford ranger 2.3 mt,30000000,420300
toyota hilux 2.8,215000000,91000
ford explorer 2.3 xlt,165000000,20000
nissan sentra 1.6 b13,26800000,50035
jeep wrangler 3.6 sport,190000000,40000
renault captur 2.0 intens automatica,65000000,46802
toyota prado 3.0 tx-l,260000000,71000
ford ecosport 2.0 se,57000000,64998
mercedes-benz clase c 1.8 cgi,47000000,96011
bmw serie 3 2.0 320i e90 lci,50000000,125353
toyota 4runner limited,198000000,68000
bmw serie 3 2.0 320i e90 lci,51000000,89636
volkswagen bora prestige,31000000,177810
nissan x-trail t32,77000000,45000
volkswagen jetta 1.4 tsi highline,82000000,50500
toyota prado 2.8 txl blindaje 2 plus,320000000,41105
ford ecosport 2.0 titanium at,78000000,19000
dodge journey 2.4 se,75000000,34000
hyundai tucson 2.4 ix35 gls 4x4,60500000,129300
toyota corolla 2.0 xe-i,79900000,40000
ford ecosport 2.0 freestyle,52700000,103973
toyota fj cruiser 4.0,212500000,57544
mercedes-benz clase c 1.8 200 cgi t,52000000,155374
suzuki grand vitara 2.4 sz glx sport 4x2,64000000,81597
mazda 3 2.0 grand touring,72000000,58000
mazda cx-30 2.0 grand touring hybrid 4x2,131000000,10700
nissan patrol 4.0 k160,42000000,256000
toyota fortuner 2.4 srv,219000000,23000
mercedes-benz clase glc 2.2 cdi 4matic,85900000,78895
mazda cx-5 2.5 grand touring camioneta,100000000,33169
peugeot 5008 1.6 gt-line,115000000,35000
kia sportage 2.0 gt line,106000000,28000
ford edge limited [fl] tp 3500cc,60000000,108000
ford ecosport 2.0 l 4x2,39000000,93000
kia cerato 1.6 vivro vibrant,72000000,31579
kia sportage 2.0 desire,109900000,57000
chevrolet chevy 1.6 c2 5 p,19000000,84650
kia carnival 2.9 lx,70000000,449303
toyota 4runner 4.0 sr5 limited fl,210000000,97645
renault logan 1.6 expression mt,32500000,51900
chevrolet n300 1.2 move,32000000,159000
seat altea 1.8   style xl tfsi at,38900000,154000
renault megane 1.6 classic,23900000,165000
ford explorer 2.3 limited 4x4,147800000,91450
toyota hilux 24l at 2400cc 4x4 diesel,208000000,19297
chevrolet colorado 2.8 high country,200000000,22000
ford ecosport 2.0l mt 4x4,35900000,140000
ford explorer 3.5 limited,110000000,46500
chevrolet n300 1.2 max plus,44500000,58000
renault kangoo 1.6 express,72900000,5000
chevrolet spark 1.2 gt ltz,27600000,130000
chevrolet sail 1.4 ls,26000000,74640
volkswagen jetta 2.5 highline,53000000,61000
volkswagen virtus comfortline,65900000,11650
volvo xc60 2.0 t5 awd momentum,147000000,62000
peugeot 2008 1.2 allure,95000000,5200
volkswagen jetta new jetta 2.5 trendline,39000000,58300
