,y,x,z,desc
163,4992.13,5085.99,99.64,cub
164,4992.35,5068.82,99.61,cub
165,4992.69,5045.56,99.68,cub
166,4993.03,5018.23,99.49,cub
167,4972.03,5085.46,99.77,zona_dura
168,4972.08,5079.26,99.78,zona_dura
169,4972.15,5068.82,99.81,zona_dura
170,4972.42,5056.39,99.87,zona_dura
171,4992.34,5056.92,99.87,zona_dura
172,4992.17,5069.69,99.83,zona_dura
173,4992.01,5084.82,99.83,zona_dura
174,4990.99,5085.74,99.81,zona_dura
175,4941.95,5084.84,100.28,columna
176,4926.08,5084.56,100.27,columna
177,4950.45,5052.98,100.19,columna
178,4942.35,5052.81,100.3,columna
179,4950.02,5084.95,100.27,columna
180,4948.01,5084.81,99.67,cub
181,4944.02,5085.18,99.67,cub
182,4944.32,5061.29,99.64,cub
183,4948.29,5061.19,99.67,cub
184,4948.55,5041.77,99.64,cub
185,4944.78,5018.7,99.65,cub
186,4948.85,5018.25,99.93,cub
187,4943.99,5085.12,99.72,zona_dura
188,4924.03,5084.89,99.73,zona_dura
189,4924.3,5065.7,99.75,zona_dura
190,4924.43,5055.71,99.76,zona_dura
191,4944.35,5056.02,99.77,zona_dura
192,4948.39,5056.25,99.78,zona_dura
193,4948.13,5075.54,99.77,zona_dura
194,4948.02,5085.21,99.76,zona_dura
195,4968.04,5079.17,99.77,zona_dura
196,4967.81,5085.3,100.1,zona_dura
197,4968.21,5065.56,99.83,zona_dura
